"","SMILES_Solute","Temperature_K","Solvent","SMILES_Solvent","Solubility(mole_fraction)","Solubility(mol/L)","LogS(mol/L)","Compound_Name","CAS","PubChem_CID","FDA_Approved","Source"
"460","O=c1[nH]nc([N+](=O)[O-])[nH]1",298.15,"water","O",0.00215799999999999,0.119693986550536,-0.921927668085837,"3-nitro-1,2,4-triazol-5-one","932-64-9",135406868,"No","10.1021/acs.jced.2c00352"
"461","N#Cc1ccncc1",298.15,"water","O",0.006026,0.335534185454505,-0.474263225724747,"4-cyanopyridine","100-48-1",7506,"No","10.1021/acs.jced.2c00426"
"462","Nc1cccc2ccncc12",298.15,"water","O",6.21e-05,0.00343717181639644,-2.46379875792742,"8-isoquinolinamine","23687-27-6",13927912,"No","10.1021/acs.jced.2c00485"
"463","Nc1ccnc(=O)[nH]1",298.15,"water","O",0.0011226,0.062200735788294,-1.20620447789912,"Cytosine","71-30-7",597,"No","10.1021/acs.jced.2c00507"
"464","O=c1cnc(Br)c[nH]1",298.15,"water","O",3.198e-05,0.00177000714604418,-2.75202498025893,"2-bromo-5-hydroxypyrazine","374063-92-0",2771618,"No","10.1021/acs.jced.2c00604"
"465","CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1",298.15,"water","O",1.744e-07,9.65226479742659e-06,-5.01537077229125,"Oleanolic acid","508-02-1",10494,"No","10.1021/acs.jced.2c00619"
"466","C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12",298.15,"water","O",2.017e-07,1.11631987545314e-05,-4.95221134281879,"Ursolic acid","77-52-1",64945,"No","10.1021/acs.jced.2c00619"
"467","Nc1cnc(Br)cn1",298.15,"water","O",2.732e-05,0.00151208160981978,-2.82042476853195,"2-amino-5-bromopyrazine","59489-71-3",599539,"No","10.1021/acs.jced.2c00655"
"468","O=[N+]([O-])n1cccn1",298.15,"water","O",0.001555,0.0861963584014275,-1.06451108173414,"N-nitropyrazole","7119-95-1",146002,"No","10.1021/acs.jced.2c00717"
"469","NC(=O)CC[C@H](N)C(=O)O",298.15,"water","O",0.0053265,0.296376697942038,-0.528155944933636,"L-glutamine","56-85-9",5961,"Yes","10.1021/acs.jced.2c00738"
"470","CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl",298.15,"water","O",0.0019,0.105356713976372,-0.977337783264421,"Bupivacaine hydrochloride","18010-40-7",64737,"Yes","10.1021/acs.jced.2c00741"
"471","Nc1ccc(Br)nn1",298.15,"water","O",3.432e-05,0.00189952430907645,-2.7213551442097,"3-amino-6-bromopyridazine","88497-27-2",2794779,"No","10.1021/acs.jced.2c00794"
"472","O=C(Nc1ccncc1)c1cc(C(=O)Nc2ccncc2)cc(C(=O)Nc2ccncc2)c1",293.15,"water","O",5.71e-06,0.00031639254209961,-3.49977376209964,"N1,N3,N5-tris(pyridin-4-yl)benzene-1,3,5-tricarboxamide (TPBTC)","725274-03-3",16070358,"No","10.1021/acs.jced.3c00039"
"473","Cc1ccc2cc(Br)ccc2n1",298.15,"water","O",1.329e-05,0.00073555207357198,-3.13338657587401,"6-bromo-2-methylquinoline","877-42-9",522885,"No","10.1021/acs.jced.3c00050"
"474","NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1",298.15,"water","O",1.272e-05,0.00070400429215358,-3.15242469305543,"5-nitrofurazone",NA,5353356,"Yes","10.1021/acs.jced.3c00112"
"475","[NH3+]O.[NH3+]O.[O-]n1nnnc1-c1nnnn1[O-]",298.15,"water","O",0.0001276,0.00706299282822626,-2.15101123473189,"Dihydroxylammonium 5,5’-bistetrazole-1,1'-diolate (TKX-50)",NA,139051543,"No","10.1021/acs.jced.3c00146"
"476","O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21",298.15,"water","O",3.758e-05,0.00207996376037533,-2.68194423177095,"Phenol red","143-74-8",4766,"No","10.1021/acs.jced.3c00195"
"477","O=C(N[C@@H](CO)C(=O)O)OCc1ccccc1",298.15,"water","O",0.00165,0.0914710771524055,-1.03871620668525,"N-benzyloxycarbonyl-L-serine","1145-80-8",100310,"No","10.1021/acs.jced.3c00201"
"478","COC(=O)c1ccnc(N)c1",298.15,"water","O",0.002173,0.120527776967594,-0.91891285355739,"Methyl 2-aminopyridine-4-carboxylate","6937-03-7",236984,"No","10.1021/acs.jced.3c00268"
"479","CC(C)C[C@H](N)C(=O)O",298.15,"water","O",0.003389,0.188203876225454,-0.725371436137299,"L-leucine","61-90-5",6106,"No","10.1021/acs.jced.3c00287"
"480","CC(C)[C@H](N)C(=O)O",298.15,"water","O",0.00954,0.533082106207457,-0.273205895051075,"L-valine","72-18-4",6287,"No","10.1021/acs.jced.3c00302"
"481","CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1",298.15,"water","O",1.878e-06,0.00010393912941916,-3.98322092509287,"Difenoconazole","119446-68-3",86173,"No","10.1021/acs.jced.3c00330"
"482","N#CN=C(N)N",298.15,"water","O",0.008973,0.501112057173447,-0.300065147644873,"Dicyandiamide","461-58-5",10005,"No","10.1021/acs.jced.3c00414"
"483","O=C(O)CNC(=O)C(=O)NCC(=O)O",298.15,"water","O",0.00018329999999999,0.0101466983577523,-1.99367525019122,"N,N'-oxalyldiglycine",NA,12105920,"No","10.1021/acs.jced.3c00424"
"484","O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1",298.15,"water","O",0.0001758,0.00973145766786,-2.01182210220923,"Sulfinpyrazone","57-96-5",5342,"No","10.1021/acs.jced.3c00463"
"485","N[C@@H](Cc1ccccc1)C(=O)O",298.15,"water","O",0.00320989999999999,0.178225752955987,-0.749029541833435,"L-phenylalanine","63-91-2",6140,"No","10.1021/acs.jced.3c00536"
"486","Nc1nonc1-c1no[n+]([O-])c1-c1nonc1N",293.15,"water","O",2.05e-05,0.00113592697787135,-2.94464958599017,"3,4-bis(4'-aminofurazan-3'-yl)furoxan","296244-55-8",394430,"No","10.1021/acs.jced.3c00674"
"487","NC(=O)CS(=O)C(c1ccccc1)c1ccccc1",297.5,"water","O",8.1e-05,0.00447996695995499,-2.34872518893983,"Modafinil","68693-11-8",4236,"No","10.1021/acs.jced.3c00738"
"488","O=c1ccc2cc(O)c(O)cc2o1",298.15,"water","O",0.0066,0.36770746879446,-0.434497548746101,"Esculetin","305-01-1",5281416,"No","10.1021/acs.jced.3c00771"
"489","CC(C)(N)C(=O)O",298.15,"water","O",0.026561,1.5101439646528,0.17901835131568,"a-Aminoisobutyric Acid","62-57-7",6119,"No","10.1021/acs.jced.4c00023"
"490","CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O",300.5,"water","O",0.00319,0.176752796140494,-0.752633707156058,"Timolol maleate","26921-17-5",5281056,"Yes","10.1021/acs.jced.4c00060"
"491","CC(=O)N[C@H](C(=O)O)C(C)C",298.15,"water","O",0.00747799999999999,0.416992256436681,-0.379872009817717,"N-acetyl-L-valine","96-81-1",66789,"No","10.1021/acs.jced.4c00070"
"492","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O",298.15,"water","O",0.009359,0.522872523144778,-0.281604179666112,"Glutathione","70-18-8",124886,"No","10.1021/acs.jced.4c00102"
"493","N#CCC(N)=O",298.15,"water","O",0.03904,2.24847037503157,0.351887169847002,"2-cyanoacetamide","107-91-5",7898,"No","10.1021/acs.jced.4c00140"
"494","COC(=O)[C@@H](N)Cc1c[nH]c2ccccc12.Cl",298.2,"water","O",0.0125311,0.701597830734897,-0.153911762431812,"L-tryptophan methyl ester hydrochloride","7524-52-9",2734891,"No","10.1021/acs.jced.4c00210"
"495","NNC(=O)c1ccccc1",298.15,"water","O",0.01161,0.650109553767703,-0.187013451683782,"Benzhydrazide","613-94-5",11955,"No","10.1021/acs.jced.4c00217"
"496","NNC(=O)c1ccccc1O",298.15,"water","O",0.02231,1.26293520175328,0.101381068494434,"2-Hydroxybenzohydrazide","936-02-7",13637,"No","10.1021/acs.jced.4c00217"
"497","c1ccc2[nH]cnc2c1",298.15,"water","O",0.0008743,0.0484309535073809,-1.31487698049058,"Benzimidazole","51-17-2",5798,"No","10.1021/acs.jced.4c00450"
"498","CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC.NC(N)=NCCC[C@H](N)C(=O)O",298.15,"water","O",0.06015,3.54209134919177,0.54925975728837,"Perindopril L-arginine","612548-45-5",12068809,"No","10.1021/acs.jced.4c00499"
"499","Cc1cccc2sc(NN)nc12",298.15,"water","O",2.56e-05,0.00141688223388377,-2.84866624523587,"2-hydrazino-4-methylbenzothiazole","20174-68-9",88394,"No","10.1021/acs.jced.4c00506"
"500","COc1cc2oc(=O)cc(-c3ccccc3)c2cc1O",299.2,"water","O",1.1239e-07,6.21099730451158e-06,-5.20683865923231,"Dalbergin","482-83-7",442768,"No","10.1021/acs.jced.5b00098"
"501","O=c1cc(-c2ccccc2)c2cc(O)c(O)cc2o1",299.2,"water","O",2.3864e-07,1.31879400647342e-05,-4.87982303526367,"Nordalbergin","482-82-6",5320203,"No","10.1021/acs.jced.5b00098"
"502","C=CC(=O)NC(C)(C)C",298.15,"water","O",0.0009937,0.0550515731912443,-1.25923026582004,"N-tert-butylacrylamide","107-58-4",7877,"No","10.1021/acs.jced.5b00135"
"503","C=C1C[C@]23C[C@H]1CC[C@H]2[C@@]12CC[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O",298.15,"water","O",2.8e-05,0.00154971866273038,-2.80974713687081,"Gibberellin A4","468-44-0",92109,"No","10.1021/acs.jced.5b00190"
"504","CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O",298.15,"water","O",4.11e-06,0.0002274711264134,-3.64307372179871,"Tenoxicam","59804-37-4",54677971,"Yes","10.1021/acs.jced.5b00382"
"505","OC[C@@H](O)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO",298.15,"water","O",0.061564,3.63082102104308,0.560004841176965,"Maltitol","585-88-6",493591,"No","10.1021/acs.jced.5b00565"
"506","COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC",298.45,"water","O",2.485e-05,0.00137526062540694,-2.8616149909608,"Trimethoprim","738-70-5",5578,"Yes","10.1021/acs.jced.5b00616"
"507","COc1cc(C(=O)O)ccc1O",298.15,"water","O",0.00016,0.00885670433330948,-2.05272785329617,"Vanillic acid","121-34-6",8468,"No","10.1021/acs.jced.5b00619"
"508","Cc1ccc(S(=O)(=O)[O-])cc1Cl.[Na+]",296.5,"water","O",0.005922,0.329603080198966,-0.482008738397363,"Sodium 2-chlorotoluene-4-sulfonate","5138-91-0",23678886,"No","10.1021/acs.jced.5b00655"
"509","CC(C)C[C@H](CN)CC(=O)O",298.15,"water","O",0.003729,0.207156023529477,-0.68370243408869,"(S)-3-(aminomethyl)-5-methylhexanoic acid","148553-50-8",5486971,"Yes","10.1021/acs.jced.5b00736"
"510","O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1",301.05,"water","O",0.00015,0.00829649842980193,-2.08110516466986,"1,3,5-benzenetricarboxylic acid","554-95-0",11138,"No","10.1021/acs.jced.5b00870"
"511","[NH3+]O.[NH3+]O.[O-]n1nnnc1-c1nnnn1[O-]",298.15,"water","O",2.828e-05,0.00156521628763051,-2.80542564148229,"Dihydroxylammonium 5,5’-bistetrazole-1,1'-diolate (TKX-50)",NA,139051543,"No","10.1021/acs.jced.6b00009"
"512","C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1.O.O.O",293.1,"water","O",1.45e-05,0.00080344955709111,-3.09504138432025,"Cefixime trihydrate",NA,9578045,"No","10.1021/acs.jced.6b00163"
"513","CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1.O",293.1,"water","O",0.000721,0.0399790822285831,-1.39816717989366,"Cephalexin Monohydrate","23325-78-2",62921,"Yes","10.1021/acs.jced.6b00163"
"514","Cc1c(O)c(=O)ccn1C",293.1,"water","O",0.0022676,0.125932170553926,-0.899863311120707,"Deferiprone","30652-11-0",2972,"Yes","10.1021/acs.jced.6b00163"
"515","O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O",298.15,"water","O",0.0001875,0.0103792358652593,-1.98383461871463,"3,7,9,11-Tetraoxo-2,4,6,8,10-pentaaza[3.3.3] Propellane (TOPAP)",NA,59146500,"No","10.1021/acs.jced.6b00349"
"516","COC(=O)[C@H](N)c1ccc(O)cc1",298.15,"water","O",7.86e-05,0.00435050181622044,-2.36146064570148,"Methyl D-(-)-4-hydroxy-phenylglycinate","37763-23-8",11298312,"No","10.1021/acs.jced.6b00415"
"517","C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c(C(=O)CCc4ccc(O)cc4)c(O)c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O",298.15,"water","O",2.13e-05,0.00117888522682485,-2.92852847461904,"Naringin dihydrochalcone","18916-17-1",9894584,"No","10.1021/acs.jced.6b00543"
"518","Cn1c(=O)c2[nH]cnc2n(C)c1=O",298.16,"water","O",0.00063,0.0348533286735863,-1.45775573821056,"Theophylline","58-55-9",2153,"Yes","10.1021/acs.jced.7b00065"
"519","Cn1cnc2c1c(=O)[nH]c(=O)n2C",298.1,"water","O",4.73e-05,0.00261530914247976,-2.58247696800599,"Theobromine","83-67-0",5429,"No","10.1021/acs.jced.7b00065"
"520","O=C(O)CS.[Na]",298.15,"water","O",0.16085,10.6087481072373,1.02566413769995,"Sodium thioglycolate",NA,87063579,"No","10.1021/acs.jced.7b00245"
"521","O=C(O)C=CC(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1",298.15,"water","O",7.39e-05,0.00409033807948115,-2.38824079468578,"Quetiapine fumarate","111974-72-2",441261,"No","10.1021/acs.jced.7b00518"
"522","CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1",298.15,"water","O",9.523e-05,0.00527105824930505,-2.27810218446575,"Thiamphenicol","15318-45-3",27200,"No","10.1021/acs.jced.7b00542"
"523","Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1",298.2,"water","O",1.58e-05,0.00087354728297844,-3.05871358274645,"Etoricoxib","202409-33-4",123619,"Yes","10.1021/acs.jced.7b00709"
"524","O=C1O[C@H]([C@@H](O)CO)C(O)=C1O.[Na]",298.15,"water","O",0.0634,3.7464313228904,0.573617775806906,"L-ascorbate",NA,66586226,"No","10.1021/acs.jced.7b00846"
"525","Nc1ccc(C(=O)O)cc1.[K]",298.15,"water","O",0.1251,7.9137361148637,0.898381564533841,"p-aminobenzoic acid potassium",NA,66764247,"No","10.1021/acs.jced.7b00978"
"526","CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21",298.15,"water","O",5.155e-05,0.00285320994725254,-2.54466627055162,"Carbazochrome","69-81-8",2557,"No","10.1021/acs.jced.7b00982"
"527","O=C(O)c1ccc(C(=O)O)o1",303.55,"water","O",0.0001407,0.00777634092550627,-2.10922470759561,"2,5-furandicarboxylic acid","3238-40-2",76720,"No","10.1021/acs.jced.7b01112"
"528","Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1",298.15,"water","O",5.901e-05,0.003266133367336,-2.48596608551621,"Sulfachloropyridazine","80-32-0",6634,"No","10.1021/acs.jced.7b01134"
"529","O=C(O)Cc1ccccc1Cl",298.15,"water","O",0.0005064,0.028041184235547,-1.55220364918958,"2-chlorophenylacetic acid","2444-36-2",17124,"No","10.1021/acs.jced.8b00139"
"530","O=C(c1ccccc1)c1ccccc1",298.15,"water","O",0.0111,0.621231220250021,-0.206746726733562,"Benzophenone","119-61-9",3102,"No","10.1021/acs.jced.8b00196"
"531","COc1ccc(CC(=O)O)cc1",298.15,"water","O",0.0043,0.239013603624645,-0.621577380177445,"Para-methoxyphenylacetic acid","104-01-8",7690,"No","10.1021/acs.jced.8b00271"
"532","Cc1ncc(COP(=O)(O)O)c(C=O)c1O.O",298.15,"water","O",0.00038814,0.0214901611745055,-1.66776032732215,"Pyridoxal 5-phosphate monohydrate","41468-25-1",38882,"No","10.1021/acs.jced.8b00309"
"533","C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C=O",298.15,"water","O",0.09786,6.00363033539623,0.778413943358029,"L-fucose","2438-80-4",3034656,"No","10.1021/acs.jced.8b00361"
"534","O=c1nc[nH]c2[nH]ncc12",298.15,"water","O",2.938e-05,0.00162609989804564,-2.78885277741521,"Allopurinol","315-30-0",135401907,"No","10.1021/acs.jced.8b00430"
"535","COc1cc(N)nc(OC)n1",298.15,"water","O",0.0004642,0.025703333652344,-1.59001054620464,"4-amino-2,6-dimethoxypyrimidine","3289-50-7",76789,"No","10.1021/acs.jced.8b00719"
"536","O=C(OCC1c2ccccc2-c2ccccc21)ON1C(=O)CCC1=O",298.15,"water","O",7.378e-06,0.00040834244655573,-3.38897547350147,"N-(9-fluorenylmethoxycarbonyloxy)succinimide","82911-69-1",134122,"No","10.1021/acs.jced.8b00732"
"537","NNC(=O)c1ccncc1",298.15,"water","O",0.019794,1.11763213572349,0.0482988807284713,"Isoniazid","54-85-3",3767,"Yes","10.1021/acs.jced.8b00785"
"538","N#CCc1ccc([N+](=O)[O-])cc1",298.15,"water","O",3.549e-05,0.00196428311790327,-2.7067959158965,"p-nitrophenylacetonitrile","555-21-5",68386,"No","10.1021/acs.jced.8b00811"
"539","C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3",298.15,"water","O",2.706e-05,0.00149769098546977,-2.82457778419947,"Artesunate","88495-63-0",6917864,"Yes","10.1021/acs.jced.8b00988"
"540","Nc1nc(Cl)c2[nH]cnc2n1",298.15,"water","O",1.239e-05,0.00068573980356012,-3.16384064131074,"2-amino-6-chloropurine","10310-21-1",5360349,"No","10.1021/acs.jced.8b01014"
"541","COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[Cl-]",298.15,"water","O",0.001098,0.0608362069812438,-1.21583787118819,"Palmatine chloride","10605-02-4",73442,"No","10.1021/acs.jced.8b01055"
"542","CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C",298.15,"water","O",7.257e-05,0.00401671772134825,-2.39612868765303,"Buprofezin","69327-76-0",50367,"No","10.1021/acs.jced.8b01099"
"543","COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1",298.15,"water","O",2.122e-07,1.17443272215384e-05,-4.93017185690614,"Flubendazole","31430-15-6",35802,"No","10.1021/acs.jced.8b01126"
"544","NC(=O)c1ccc(N)cc1",298.15,"water","O",0.001464,0.0811446742377218,-1.09073997891933,"4-aminobenzamide","2835-68-9",76079,"No","10.1021/acs.jced.8b01144"
"545","O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O",298.15,"water","O",7.49e-06,0.00041454123980147,-3.38243225805145,"Baicalin","21967-41-9",64982,"No","10.1021/acs.jced.8b01186"
"546","N#CCC(N)=O",298.15,"water","O",0.04047,2.33430348345763,0.368157318128747,"2-cyanoacetamide","107-91-5",7898,"No","10.1021/acs.jced.8b01205"
"547","N#Cc1cccc([N+](=O)[O-])c1C#N",298.15,"water","O",0.0001198,0.00663119075303855,-2.17840847897979,"3-nitrophthalonitrile","51762-67-5",162652,"No","10.1021/acs.jced.8b01250"
"548","Cc1[nH]nc2cc([N+](=O)[O-])ccc12",298.15,"water","O",6.31e-05,0.0034925242916883,-2.45686056453819,"3-methyl-6-nitroindazole","6494-19-5",10921054,"No","10.1021/acs.jced.8b01256"
"549","O=Cc1ccc(C(=O)O)cc1",298.15,"water","O",4.645e-05,0.00257092000208172,-2.58991143685189,"Terephthalaldehydic acid","619-66-9",12088,"No","10.1021/acs.jced.8b01262"
"550","CP(=O)(O)CC[C@H](N)C(=O)O",298.15,"water","O",0.04179,2.41376143160913,0.382694343617283,"L-Phosphinothricin","35597-44-5",91619,"No","10.1021/acs.jced.9b00004"
"551","CP(=O)(O)CC[C@H](N)C(=O)O.Cl",298.15,"water","O",0.06762,4.01388465917105,0.60356488867831,"L-Phosphinothricin hydrochloride",NA,12701464,"No","10.1021/acs.jced.9b00004"
"552","O=S(=O)([O-])c1cccc2c(S(=O)(=O)[O-])cccc12.[Na+].[Na+]",293.15,"water","O",0.0066441,0.370611536982139,-0.431081065401111,"Sodium naphthalene-1,5-disulfonate","1655-29-4",74248,"No","10.1021/acs.jced.9b00029"
"553","NC(=O)c1ccc([N+](=O)[O-])cc1",298.15,"water","O",6e-04,0.0332272635854619,-1.47850542335169,"p-Nitrobenzamide","619-80-7",12091,"No","10.1021/acs.jced.9b00065"
"554","c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1",298.15,"water","O",2.054e-05,0.0011368208523819,-2.94430796886723,"Bifonazole","60628-96-8",2378,"Yes","10.1021/acs.jced.9b00097"
"555","NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O",298.15,"water","O",4.2e-05,0.0023246105395544,-2.63364979747957,"Hydrochlorothiazide","58-93-5",3639,"Yes","10.1021/acs.jced.9b00220"
"556","O=Cc1cc([N+](=O)[O-])ccc1O",298.15,"water","O",9.498e-05,0.0052572192307658,-2.27924391213382,"5-nitrosalicylaldehyde","97-51-8",66808,"No","10.1021/acs.jced.9b00232"
"557","N#CCc1ccccc1[N+](=O)[O-]",298.15,"water","O",8.191e-05,0.00453372497939474,-2.34354482817816,"o-nitrophenylacetonitrile","610-66-2",11888,"No","10.1021/acs.jced.9b00243"
"558","NNC(=O)NN.O=[N+]([O-])NC1=NC(C2N=NC(N[N+](=O)[O-])=N2)N=N1",298.15,"water","O",2.77e-05,0.00153311407425402,-2.81442552944055,"5,5'-Dinitramino-3,3'-bi[1,2,4-triazolate] Carbohydrazide Salt (CBNT)",NA,NA,"No","10.1021/acs.jced.9b00275"
"559","CC(=NC#N)N(C)Cc1ccc(Cl)nc1",298.15,"water","O",0.0003476,0.0192448010665393,-1.71568657384716,"Acetamiprid","135410-20-7",213021,"No","10.1021/acs.jced.9b00294"
"560","N[C@H](CC(=O)O)C(=O)O",298.15,"water","O",0.0007282,0.0403319959042968,-1.39435028558538,"D-aspartic acid","1783-96-6",83887,"No","10.1021/acs.jced.9b00320"
"561","Cc1cnc(C(=O)O)cn1",298.15,"water","O",6.74e-06,0.00037303149008569,-3.42825450493877,"5-methyl-2-pyrazinecarboxylic acid","5521-55-1",122831,"No","10.1021/acs.jced.9b00406"
"562","Nc1ccc(S(N)(=O)=O)cc1",298.15,"water","O",0.000813,0.0450325398479022,-1.34647355801548,"Sulfanilamide","63-74-1",5333,"Yes","10.1021/acs.jced.9b00411"
"563","N[C@@H](CO)C(=O)O",298.15,"water","O",0.06416,3.79442019095901,0.579145422628095,"L-serine","56-45-1",5951,"No","10.1021/acs.jced.9b00460"
"564","COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1",298.15,"water","O",7.246e-06,0.00040103672772728,-3.39681585202103,"Fenbendazole","43210-67-9",3334,"No","10.1021/acs.jced.9b00471"
"565","Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-]",298.15,"water","O",3.496e-05,0.00193494791222364,-2.71333072146591,"3,5-dinitro-2-methylbenzoic acid","28169-46-2",98824,"No","10.1021/acs.jced.9b00497"
"566","NCCCCCC(=O)O",298.15,"water","O",0.136888,8.77770325962349,0.943380894931557,"Aminocaproic acid","60-32-2",564,"Yes","10.1021/acs.jced.9b00543"
"567","O=C1C=CC(=O)N1c1ccccc1Br",298.15,"water","O",0.0004425,0.0245012456313334,-1.61081183575534,"1-(2-bromo-phenyl)-pyrrole-2,5-dione","36817-47-7",709265,"No","10.1021/acs.jced.9b00560"
"568","N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O",298.15,"water","O",0.00137,0.0759274177313177,-1.11960137009587,"L-tryptophan","73-22-3",6305,"Yes","10.1021/acs.jced.9b00562"
"569","O=[N+]([O-])c1ncccc1O",298.15,"water","O",0.00283,0.157072408337744,-0.803900097322049,"3-hydroxy-2-nitropyridine","15128-82-2",27057,"No","10.1021/acs.jced.9b00564"
"570","Cc1nc(N)nc(N)n1",298.15,"water","O",0.000228,0.0126216620853335,-1.89888345119654,"Acetoguanamine","542-02-9",10949,"No","10.1021/acs.jced.9b00593"
"571","N[C@H](Cc1c[nH]cn1)C(=O)O",298.15,"water","O",0.005056,0.281249072747281,-0.550908900707792,"D-histidine","351-50-8",71083,"No","10.1021/acs.jced.9b00659"
"572","O=C(O)c1cccnc1Cl",298.15,"water","O",0.000171,0.00946570689566267,-2.02384694752988,"2-chloronicotinic acid","2942-59-8",76258,"No","10.1021/acs.jced.9b00661"
"573","C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N",298.15,"water","O",8.88e-06,0.00049147280724272,-3.30850050629804,"Dienogest","65928-58-7",68861,"Yes","10.1021/acs.jced.9b00696"
"574","C[C@H]1COc2c(N3CCN(C)CC3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23.Cl",298.15,"water","O",0.001613,0.0894165936616629,-1.04858187866527,"Antofloxacin hydrochloride","873888-67-6",24806572,"No","10.1021/acs.jced.9b00717"
"575","C[C@H](N)C(=O)O",293.15,"water","O",0.030824,1.76227627626831,0.246073994798576,"L-alanine","56-41-7",5950,"No","10.1021/acs.jced.9b00743"
"576","Nc1c(Cl)cc([N+](=O)[O-])cc1Cl",298.15,"water","O",6.43e-06,0.00035587414505676,-3.44870356318205,"2,6-dichloro-4-nitroaniline","99-30-9",7430,"No","10.1021/acs.jced.9b00778"
"577","O=C(O)[C@@H]1CCCN1",293.15,"water","O",0.204063,14.2060462115684,1.15247322307689,"L-proline","147-85-3",145742,"No","10.1021/acs.jced.9b00802"
"578","Oc1ccc(OCc2ccccc2)cc1",298.15,"water","O",1.3e-05,0.00071950144344382,-3.14296833045697,"Monobenzone","103-16-2",7638,"Yes","10.1021/acs.jced.9b00817"
"579","NC(N)=NC(N)=NCCc1ccccc1",298.15,"water","O",0.0008879,0.0491849810865886,-1.30816749127692,"Phenformin","114-86-3",8249,"No","10.1021/acs.jced.9b00844"
"580","Cc1cc(=O)oc2cc(N)ccc12",298.15,"water","O",2.755e-05,0.00152481178375198,-2.81678376046317,"7-amino-4-methylcoumarin","26093-31-2",92249,"No","10.1021/acs.jced.9b00873"
"581","Nc1ccc(Cl)cc1[N+](=O)[O-]",298.15,"water","O",2.5e-05,0.00138367322630193,-2.85896646245896,"4-chloro-2-nitroaniline","89-63-4",6979,"No","10.1021/acs.jced.9b00919"
"582","C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(-c2nc3ccccc3o2)cc1",323.15,"water","O",1.3e-07,7.12990378561633e-06,-5.14691633068921,"2,2'-(1,2-ethenediyldi-4,1-phenylene) bis-benzoxazole",NA,73744,"No","10.1021/acs.jced.9b00961"
